True,name,0,1,2,3,4
0,loss_null,0.6164,0.9783,0.7858,0.5118,0.6697
1,loss_alternative,0.0416,0.3509,0.0493,0.0617,0.1977
2,loss_pvalue,6.83E-98,2.22E-86,1.06E-74,1.54E-19,1.08E-37
3,is_loss_sig,Yes,Yes,Yes,Yes,Yes
4,corr_null,0.058,-0.0009,0.0999,0.012,-0.0086
5,corr_alternative,0.9708,0.8161,0.9689,0.9319,0.7763
6,corr_pvlue,3.66E-86,4.68E-56,1.92E-69,3.55E-66,2.23E-63
7,is_corr_sig,Yes,Yes,Yes,Yes,Yes
8,r2_null,-0.0374,-0.019,-0.1741,-0.6558,-0.3855
9,r2_alternative,0.9301,0.6344,0.9264,0.8003,0.591
10,r2_pvalue,6.83E-98,2.22E-86,1.06E-74,1.54E-19,1.08E-37
11,is_r2_sig,Yes,Yes,Yes,Yes,Yes
